artist_id,artist_ja,artist_en,genre1,genre2,genre3,major_level,has_album_cover,album_image,album_name,album_year
p010,デュア・リパ,Dua Lipa,ポップス,ダンス,,5,1,rdhd.jpg,Future Nostalgia,2020
p011,エルトン・ジョン,Elton John,ポップス,ロック,,5,1,ldzp.jpg,Goodbye Yellow Brick Road,1973
p012,マドンナ,Madonna,ポップス,ダンス,,5,1,pkfd.jpg,Like a Virgin,1984
p013,プリンス,Prince,ポップス,ファンク,,5,1,vbug.jpg,Purple Rain,1984
p014,デヴィッド・ボウイ,David Bowie,ポップス,ロック,,5,1,edsl.jpg,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972
p015,ホイットニー・ヒューストン,Whitney Houston,ポップス,R&B,,5,1,rdhd.jpg,Whitney,1987
p016,アバ,ABBA,ポップス,ディスコ,,5,1,ldzp.jpg,Arrival,1976
p017,クイーン,Queen,ポップス,ロック,,5,1,pkfd.jpg,A Night at the Opera,1975
p018,ジャスティン・ティンバーレイク,Justin Timberlake,ポップス,R&B,,5,1,vbug.jpg,Justified,2002
p019,ケイティ・ペリー,Katy Perry,ポップス,ダンス,,5,1,edsl.jpg,Teenage Dream,2010
p020,ジャスティン・ビーバー,Justin Bieber,ポップス,R&B,,5,1,rdhd.jpg,Purpose,2015
p021,ショーン・メンデス,Shawn Mendes,ポップス,フォーク,,5,1,ldzp.jpg,Illuminate,2016
p022,ポスト・マローン,Post Malone,ポップス,ヒップホップ,,5,1,pkfd.jpg,beerbongs & bentleys,2018
p023,マルーン5,Maroon 5,ポップス,ロック,,5,1,vbug.jpg,Songs About Jane,2002
p024,イマジン・ドラゴンズ,Imagine Dragons,ポップス,ロック,,5,1,edsl.jpg,Night Visions,2012
p025,コールドプレイ,Coldplay,ポップス,ロック,,5,1,rdhd.jpg,A Rush of Blood to the Head,2002
p026,ピンク,P!nk,ポップス,ロック,,5,1,ldzp.jpg,Missundaztood,2001
p027,セリーヌ・ディオン,Celine Dion,ポップス,バラード,,5,1,pkfd.jpg,Falling into You,1996
p028,サム・スミス,Sam Smith,ポップス,ソウル,,5,1,vbug.jpg,In the Lonely Hour,2014
p029,カーペンターズ,The Carpenters,ポップス,ソフトロック,,5,1,edsl.jpg,Close to You,1970
p030,BTS,BTS,ポップス,K-POP,,5,1,rdhd.jpg,LOVE YOURSELF 結 'Answer',2018
p031,スティーヴィー・ワンダー,Stevie Wonder,ポップス,ソウル,,5,1,ldzp.jpg,Songs in the Key of Life,1976
p032,フランク・シナトラ,Frank Sinatra,ポップス,ジャズ,,5,1,pkfd.jpg,Come Fly with Me,1958
p033,エルヴィス・プレスリー,Elvis Presley,ポップス,ロックンロール,,5,1,vbug.jpg,Elvis Presley,1956
p034,ビージーズ,The Bee Gees,ポップス,ディスコ,,5,1,edsl.jpg,Saturday Night Fever,1977
p035,スティング,Sting,ポップス,ロック,,5,1,rdhd.jpg,The Dream of the Blue Turtles,1985
p036,フィル・コリンズ,Phil Collins,ポップス,ロック,,5,1,ldzp.jpg,No Jacket Required,1985
p037,ジョージ・マイケル,George Michael,ポップス,ソウル,,5,1,pkfd.jpg,Faith,1987
p038,スーザン・ボイル,Susan Boyle,ポップス,クラシカル,,5,1,vbug.jpg,I Dreamed a Dream,2009
p039,アヴリル・ラヴィーン,Avril Lavigne,ポップス,ロック,,5,1,edsl.jpg,Let Go,2002
p040,ケリー・クラークソン,Kelly Clarkson,ポップス,ロック,,5,1,rdhd.jpg,Breakaway,2004
z001,キース・ジャレット,Keith Jarrett,ジャズ,,,5,1,ldzp.jpg,The Köln Concert,1975
z002,ブラッド・メルドー,Brad Mehldau,ジャズ,,,5,1,pkfd.jpg,The Art of the Trio,1997
z003,ロバート・グラスパー,Robert Glasper,ジャズ,,,5,1,vbug.jpg,Black Radio,2012
z004,エスペランサ・スポルディング,Esperanza Spalding,ジャズ,,,5,1,edsl.jpg,Radio Music Society,2012
z005,カマシ・ワシントン,Kamasi Washington,ジャズ,,,5,1,rdhd.jpg,The Epic,2015
z006,クリスチャン・スコット,Christian Scott,ジャズ,,,5,1,ldzp.jpg,Stretch Music,2015
z007,アンブローズ・アキンムシーレ,Ambrose Akinmusire,ジャズ,,,5,1,pkfd.jpg,Origami Harvest,2018
z008,ジェイソン・モラン,Jason Moran,ジャズ,,,5,1,vbug.jpg,The Bandwagon,2003
z009,セシル・マクレー,Cécile McLorin Salvant,ジャズ,,,5,1,edsl.jpg,For One to Love,2015
z010,グレゴリー・ポーター,Gregory Porter,ジャズ,,,5,1,rdhd.jpg,Liquid Spirit,2013
z011,マイルス・デイビス,Miles Davis,ジャズ,,,5,1,ldzp.jpg,Kind of Blue,1959
z012,ジョン・コルトレーン,John Coltrane,ジャズ,,,5,1,pkfd.jpg,A Love Supreme,1965
z013,セロニアス・モンク,Thelonious Monk,ジャズ,,,5,1,vbug.jpg,Brilliant Corners,1957
z014,チャーリー・パーカー,Charlie Parker,ジャズ,,,5,1,edsl.jpg,Charlie Parker with Strings,1950
z015,ビル・エヴァンス,Bill Evans,ジャズ,,,5,1,rdhd.jpg,Waltz for Debby,1961
z016,デューク・エリントン,Duke Ellington,ジャズ,,,5,1,ldzp.jpg,Ellington at Newport,1956
z017,ルイ・アームストロング,Louis Armstrong,ジャズ,,,5,1,pkfd.jpg,What a Wonderful World,1967
z018,エラ・フィッツジェラルド,Ella Fitzgerald,ジャズ,,,5,1,vbug.jpg,Ella and Louis,1956
z019,サラ・ヴォーン,Sarah Vaughan,ジャズ,,,5,1,edsl.jpg,Sarah Vaughan,1954
z020,ニーナ・シモン,Nina Simone,ジャズ,,,5,1,rdhd.jpg,Little Girl Blue,1958
z021,ビリー・ホリデイ,Billie Holiday,ジャズ,,,5,1,ldzp.jpg,Lady in Satin,1958
z022,カーメン・マクレー,Carmen McRae,ジャズ,,,5,1,pkfd.jpg,Carmen McRae Sings Lover Man,1961
z023,ディー・ディー・ブリッジウォーター,Dee Dee Bridgewater,ジャズ,,,5,1,vbug.jpg,Keeping Tradition,1993
z024,チック・コリア,Chick Corea,ジャズ,,,5,1,edsl.jpg,Return to Forever,1972
z025,ハービー・ハンコック,Herbie Hancock,ジャズ,,,5,1,rdhd.jpg,Head Hunters,1973
z026,ウェイン・ショーター,Wayne Shorter,ジャズ,,,5,1,ldzp.jpg,Speak No Evil,1966
z027,ソニー・ロリンズ,Sonny Rollins,ジャズ,,,5,1,pkfd.jpg,Saxophone Colossus,1956
z028,スタン・ゲッツ,Stan Getz,ジャズ,,,5,1,vbug.jpg,Getz/Gilberto,1964
z029,ディジー・ガレスピー,Dizzy Gillespie,ジャズ,,,5,1,edsl.jpg,Afro,1954
z030,チャールズ・ミンガス,Charles Mingus,ジャズ,,,5,1,rdhd.jpg,Mingus Ah Um,1959
z031,オスカー・ピーターソン,Oscar Peterson,ジャズ,,,5,1,ldzp.jpg,Night Train,1962
z032,アート・ブレイキー,Art Blakey,ジャズ,,,5,1,pkfd.jpg,Moanin',1958
z033,ウェス・モンゴメリー,Wes Montgomery,ジャズ,,,5,1,vbug.jpg,The Incredible Jazz Guitar of Wes Montgomery,1960
z034,キャノンボール・アダレイ,Cannonball Adderley,ジャズ,,,5,1,edsl.jpg,Somethin' Else,1958
z035,ビル・フリゼール,Bill Frisell,ジャズ,,,5,1,rdhd.jpg,Good Dog, Happy Man,1999
z036,パット・メセニー,Pat Metheny,ジャズ,,,5,1,ldzp.jpg,Bright Size Life,1976
z037,ブランフォード・マルサリス,Branford Marsalis,ジャズ,,,5,1,pkfd.jpg,The Secret Between the Shadow and the Soul,2019
z038,ジョシュア・レッドマン,Joshua Redman,ジャズ,,,5,1,vbug.jpg,Still Dreaming,2018
z039,クリス・ポッター,Chris Potter,ジャズ,,,5,1,edsl.jpg,Circuits,2019
z040,ヴィジェイ・アイヤー,Vijay Iyer,ジャズ,,,5,1,rdhd.jpg,Historicity,2009
k001,美空ひばり,Misora Hibari,歌謡曲,,,5,1,ldzp.jpg,りんごの唄,1946
k002,石原裕次郎,Yujiro Ishihara,歌謡曲,,,5,1,pkfd.jpg,赤いハンカチ,1957
k003,北島三郎,Saburo Kitajima,歌謡曲,,,5,1,vbug.jpg,函館の女,1962
k004,五木ひろし,Hiroshi Itsuki,歌謡曲,,,5,1,edsl.jpg,よこはま・たそがれ,1971
k005,森進一,Shinichi Mori,歌謡曲,,,5,1,rdhd.jpg,おふくろさん,1971
k006,八代亜紀,Aki Yashiro,歌謡曲,,,5,1,ldzp.jpg,舟唄,1979
k007,小林幸子,Sachiko Kobayashi,歌謡曲,,,5,1,pkfd.jpg,おもいで酒,1979
k008,水前寺清子,Kiyoko Suizenji,歌謡曲,,,5,1,vbug.jpg,三百六十五歩のマーチ,1969
k009,島倉千代子,Chiyoko Shimakura,歌謡曲,,,5,1,edsl.jpg,東京だョおっ母さん,1957
k010,都はるみ,Harumi Miyako,歌謡曲,,,5,1,rdhd.jpg,アンコ椿は恋の花,1964
k011,フランク永井,Nagai Frank,歌謡曲,,,5,1,ldzp.jpg,有楽町で逢いましょう,1957
k012,三田明,Akira Mita,歌謡曲,,,5,1,pkfd.jpg,東京ナイト・クラブ,1958
k013,ザ・タイガース,The Tigers,歌謡曲,,,5,1,vbug.jpg,モナリザの微笑,1967
k014,ザ・スパイダース,The Spiders,歌謡曲,,,5,1,edsl.jpg,夕陽が泣いている,1966
k015,ザ・ワイルドワンズ,The Wild Ones,歌謡曲,,,5,1,rdhd.jpg,想い出の渚,1966
k016,ピンクレディー,Pink Lady,歌謡曲,,,5,1,ldzp.jpg,サウスポー,1976
k017,キャンディーズ,Candies,歌謡曲,,,5,1,pkfd.jpg,年下の男の子,1977
k018,かぐや姫,Kaguyahime,歌謡曲,,,5,1,vbug.jpg,神田川,1973
k019,赤い鳥,Akai Tori,歌謡曲,,,5,1,edsl.jpg,翼をください,1971
k020,松任谷由実,Yumi Matsutoya,歌謡曲,,,5,1,rdhd.jpg,ひこうき雲,1973
k021,吉田拓郎,Takuro Yoshida,歌謡曲,,,5,1,ldzp.jpg,結婚しようよ,1971
k022,井上陽水,Yosui Inoue,歌謡曲,,,5,1,pkfd.jpg,氷の世界,1973
k023,南沙織,Saori Minami,歌謡曲,,,5,1,vbug.jpg,17才,1971
k024,天地真理,Mari Amachi,歌謡曲,,,5,1,edsl.jpg,水色の恋,1971
k025,小柳ルミ子,Rumiko Koyanagi,歌謡曲,,,5,1,rdhd.jpg,わたしの城下町,1972
k026,麻丘めぐみ,Megumi Asaoka,歌謡曲,,,5,1,ldzp.jpg,わたしの彼は左きき,1973
k027,南こうせつ,Kosetsu Minami,歌謡曲,,,5,1,pkfd.jpg,神田川,1973
k028,イルカ,Irka,歌謡曲,,,5,1,vbug.jpg,なごり雪,1975
k029,チューリップ,Tulip,歌謡曲,,,5,1,edsl.jpg,心の旅,1973
k030,西城秀樹,Hideki Saijo,歌謡曲,,,5,1,rdhd.jpg,YOUNG MAN (Y.M.C.A.),1979
k031,郷ひろみ,Hiromi Go,歌謡曲,,,5,1,ldzp.jpg,2億4千万の瞳,1983
k032,野口五郎,Goro Noguchi,歌謡曲,,,5,1,pkfd.jpg,私鉄沿線,1975
k033,沢田研二,Kenji Sawada,歌謡曲,,,5,1,vbug.jpg,勝手にしやがれ,1977
k034,田原俊彦,Toshihiko Tahara,歌謡曲,,,5,1,edsl.jpg,哀愁でいと,1981
k035,近藤真彦,Masahiko Kondo,歌謡曲,,,5,1,rdhd.jpg,スニーカーぶる～す,1981
k036,松田聖子,Seiko Matsuda,歌謡曲,,,5,1,ldzp.jpg,赤いスイートピー,1982
k037,中森明菜,Akina Nakamori,歌謡曲,,,5,1,pkfd.jpg,DESIRE -情熱-,1986
k038,小泉今日子,Kyoko Koizumi,歌謡曲,,,5,1,vbug.jpg,なんてったってアイドル,1984
k039,工藤静香,Shizuka Kudo,歌謡曲,,,5,1,edsl.jpg,嵐の素顔,1987
k040,中山美穂,Miho Nakayama,歌謡曲,,,5,1,rdhd.jpg,CATCH ME,1986 
